label_id,label_name,included_in_59_handshapes,source_id,source_locator
01,ア型,true,thesis,Table 1
02,イ型,true,thesis,Table 1
03,ウ型,true,thesis,Table 1
04,エ型,true,thesis,Table 1
05,オ型,true,thesis,Table 1
06,カ型,true,thesis,Table 1
07,キ型,true,thesis,Table 1
08,ク型,true,thesis,Table 1
09,ケ型,false,thesis,Table 1
10,コ型,true,thesis,Table 1
11,サ型,true,thesis,Table 1
12,シ型,true,thesis,Table 1
13,ス型,true,thesis,Table 1
14,セ型,true,thesis,Table 1
15,ソ型,true,thesis,Table 1
16,タ型,true,thesis,Table 1
17,チ型,false,thesis,Table 1
18,ツ型,false,thesis,Table 1
19,テ型,true,thesis,Table 1
20,ト型,true,thesis,Table 1
21,ナ型,true,thesis,Table 1
22,ニ型,true,thesis,Table 1
23,ヌ型,true,thesis,Table 1
24,ネ型,true,thesis,Table 1
25,ハ型,true,thesis,Table 1
26,ヒ型,true,thesis,Table 1
27,フ型,true,thesis,Table 1
28,ヘ型,false,thesis,Table 1
29,ホ型,true,thesis,Table 1
30,マ型,true,thesis,Table 1
31,ミ型,true,thesis,Table 1
32,ム型,true,thesis,Table 1
33,メ型,true,thesis,Table 1
34,モ型,true,thesis,Table 1
35,ヤ型,true,thesis,Table 1
36,ユ型,true,thesis,Table 1
37,ヨ型,true,thesis,Table 1
38,ラ型,true,thesis,Table 1
39,ル型,true,thesis,Table 1
40,レ型,true,thesis,Table 1
41,ロ型,true,thesis,Table 1
42,ワ型,true,thesis,Table 1
43,人差指後,true,thesis,Table 1
44,人差指下,true,thesis,Table 1
45,一型,true,thesis,Table 1
46,ニ上型,true,thesis,Table 1
47,ニ下型,true,thesis,Table 1
48,握り拳縦,true,thesis,Table 1
49,握り拳小,true,thesis,Table 1
50,握り拳親,true,thesis,Table 1
51,握り拳甲,true,thesis,Table 1
52,握り拳平,true,thesis,Table 1
53,熊手型,true,thesis,Table 1
54,すぼめ型,true,thesis,Table 1
55,手刀,true,thesis,Table 1
56,祈る型,true,thesis,Table 1
57,屋根型,true,thesis,Table 1
58,テ↑型,true,thesis,Table 1
59,テ↓型,true,thesis,Table 1
60,C型,true,thesis,Table 1
61,Q型,true,thesis,Table 1
62,キーボード,true,thesis,Table 1
63,薬指,true,thesis,Table 1
